kode_prov,kode_kab,kode_kec,kode_desa,kode_sls,kode_subsls,id_rt,id_art,r420a,r420b,r421,r421_desk,r422,r423,r424,r425,r426,r421_kode
14,1,10,5,1,0,214,1,1.0,1.0,03,KEBUN SAWIT SENDIRI,5.0,0.0,11,3.0,1.0,3.0
14,1,10,5,1,0,216,1,1.0,1.0,14,PEDAGANG SATE,0.0,3.0,11,1.0,1.0,14.0
14,1,10,5,1,0,202,1,1.0,1.0,12,USAHA BENGKEL MOTOR,0.0,0.0,11,2.0,1.0,12.0
14,1,10,5,1,0,210,1,1.0,1.0,03,PETANI SAWIT SENDIRI,2.0,2.0,11,2.0,1.0,3.0
14,1,10,5,1,0,215,1,1.0,1.0,18,JASA VARIASI MOTOR SENDIRI,0.0,0.0,11,2.0,1.0,18.0
14,1,10,5,3,0,43,1,1.0,1.0,13,PENGANGKUTAN BUAH SAWIT,0.0,0.0,11,2.0,1.0,13.0
14,1,10,5,1,0,223,2,1.0,1.0,08,USAHA PEDAGANG CEMILAN,0.0,1.0,11,2.0,4.0,8.0
14,1,10,5,1,0,225,1,1.0,1.0,12,PEDAGANG BARANG HARIAN,0.0,2.0,11,2.0,1.0,12.0
14,1,10,5,1,0,203,1,1.0,1.0,12,USAHA JUALAN BUAH KELILING,0.0,0.0,11,1.0,1.0,12.0
14,1,10,5,1,0,217,2,1.0,1.0,12,USAHA KONTER,0.0,0.0,11,1.0,1.0,12.0
14,1,10,6,1,0,23,3,1.0,1.0,22,APPOTIK/TOKO OBAT,0.0,0.0,10,1.0,32.0,22.0
14,1,10,5,1,0,220,1,1.0,1.0,03,PETANI SAWIT,2.0,0.0,11,2.0,1.0,3.0
14,1,10,5,1,0,221,1,1.0,1.0,03,PETANI SAWIT SENDIRI,5.0,2.0,11,3.0,1.0,3.0
14,1,10,5,1,0,222,2,1.0,1.0,19,USAHA PENYEWA ALAT BERAT,2.0,0.0,11,2.0,3.0,19.0
14,1,10,5,1,0,230,1,1.0,1.0,14,JUAL SATE,0.0,1.0,11,1.0,1.0,14.0
14,1,10,5,1,0,234,1,1.0,1.0,03,PETANI SAWIT SENDIRI,2.0,0.0,11,2.0,1.0,3.0
14,1,10,5,1,0,248,1,1.0,1.0,03,PETANI SAWIT SENDIRI,2.0,2.0,11,1.0,1.0,3.0
14,1,10,5,1,0,247,2,1.0,1.0,24,LAUNDRY BAJU,0.0,2.0,11,1.0,1.0,24.0
14,1,10,7,2,0,3,1,1.0,1.0,03,KEBUN SAWIT,1.0,0.0,11,1.0,1.0,3.0
14,1,10,5,1,0,243,2,1.0,1.0,14,USAHA DAGANG POP ICE,0.0,1.0,11,1.0,1.0,14.0
14,1,10,6,3,0,67,1,1.0,1.0,06,TUKANG KAYU,0.0,1.0,11,1.0,1.0,6.0
14,1,10,7,1,0,29,1,1.0,1.0,03,KEBUN SAWIT,5.0,0.0,10,5.0,1.0,3.0
14,1,10,7,1,0,31,1,1.0,1.0,12,WARUNG HARIAN GROSIR,6.0,0.0,02,4.0,1.0,12.0
14,1,10,7,1,0,41,2,1.0,1.0,24,SALON,0.0,0.0,11,1.0,1.0,24.0
14,1,10,7,1,0,44,5,1.0,1.0,12,KONTER PULSA,0.0,0.0,11,1.0,8.0,12.0
14,1,10,6,3,0,58,1,1.0,1.0,12,JUELAN PAKAIN,0.0,0.0,11,2.0,4.0,12.0
14,1,10,8,2,0,56,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,2.0,3.0
14,1,10,8,2,0,57,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,2,0,58,1,1.0,1.0,03,KEBUN SAWIT,4.0,1.0,11,2.0,1.0,3.0
14,1,10,8,2,0,59,1,1.0,1.0,03,KEBUN SAWIT,2.0,1.0,11,1.0,1.0,3.0
14,1,10,8,1,0,10,2,1.0,1.0,14,JUALAN BAKSO BAKAR,0.0,0.0,11,1.0,32.0,14.0
14,1,10,8,1,0,12,1,1.0,1.0,03,KEBUN SAWIT,0.0,1.0,11,2.0,32.0,3.0
14,1,10,8,1,0,1,1,1.0,1.0,03,KEBUN SAWIT,1.0,1.0,11,2.0,32.0,3.0
14,1,10,8,1,0,33,2,1.0,1.0,14,KANTIN SEKOLAH,0.0,2.0,11,2.0,3.0,14.0
14,1,10,8,2,0,53,1,1.0,1.0,08,JUALAN KERIPIK,0.0,2.0,11,1.0,1.0,8.0
14,1,10,7,2,0,54,2,1.0,1.0,14,WARUNG MISO,0.0,0.0,11,1.0,1.0,14.0
14,1,10,8,1,0,43,1,1.0,1.0,13,TRAVEL,0.0,0.0,11,2.0,7.0,13.0
